PACKAGE,VERSION,LICENSE,,,
alsa-lib,1.2.11,"LGPL-2.1+ (library), GPL-2.0+ (aserver)",,,
alsa-utils,1.2.11,GPL-2.0,,,
ncurses,6.4-20230603,MIT,with,advertising,clause
bluez5_utils-headers,5.72,"GPL-2.0+, LGPL-2.1+",,,
bluez5_utils,5.72,"GPL-2.0+, LGPL-2.1+",,,
dbus,1.14.10,"AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)",,,
expat,2.6.0,MIT,,,
libglib2,2.76.1,LGPL-2.1+,,,
libffi,3.4.4,MIT,,,
pcre2,10.42,BSD-3-Clause,,,
util-linux-libs,2.39.2,"LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)",,,
libzlib,1.3.1,Zlib,,,
readline,8.2,GPL-3.0+,,,
eudev,3.2.14,"GPL-2.0+ (programs), LGPL-2.1+ (libraries)",,,
kmod,31,LGPL-2.1+,(library),,
libopenssl,3.2.1,Apache-2.0,,,
busybox,1.36.1,"GPL-2.0, bzip2-1.0.4",,,
e2fsprogs,1.47.0,"GPL-2.0, MIT-like with advertising clause (libss and libet)",,,
util-linux,2.39.2,"GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)",,,
python3,3.12.1,"Python-2.0, others",,,
i2c-tools,4.3,"GPL-2.0+, GPL-2.0 (py-smbus), LGPL-2.1+ (libi2c)",,,
iproute2,6.7.0,GPL-2.0+,,,
cppzmq,4.10.0,MIT,,,
zeromq,4.3.5,MPL-2.0,,,
crda,4.15,ISC,,,
libgcrypt,1.10.3,LGPL-2.1+,,,
libgpg-error,1.47,"GPL-2.0+, LGPL-2.1+",,,
libnl,3.9.0,LGPL-2.1+,,,
dnsmasq,2.89,GPL-2.0,or,GPL-3.0,
glog,0.6.0,BSD-3-Clause,,,
gpsd,3.25,BSD-2-Clause,,,
gptfdisk,1.0.9,GPL-2.0+,,,
popt,1.19,MIT,,,
haveged,1.9.18,GPL-3.0+,,,
hostapd,2.1,BSD-3-Clause,,,
iw,5.19,ISC,,,
json-c,0.17,MIT,,,
libarchive,3.7.2,"BSD-2-Clause, BSD-3-Clause, CC0-1.0, OpenSSL, Apache-2.0",,,
libconfig,1.7.3,LGPL-2.1+,,,
libcurl,8.6.0,curl,,,
nghttp2,1.58.0,MIT,,,
libevdev,1.13.1,MIT,,,
libgpiod,1.6.4,LGPL-2.1+,,,
libiio,0.25,LGPL-2.1+,,,
libmd,1.1.0,"BSD-2-Clause, BSD-3-Clause, Beerware, ISC, Public Domain",,,
libubootenv,0.3.5,"LGPL-2.1+, MIT, CC0-1.0",,,
libyaml,0.2.5,MIT,,,
lrzsz,0.12.20,GPL-2.0+,,,
parted,3.6,GPL-3.0+,,,
protobuf,21.12,BSD-3-Clause,,,
python-pyzmq,25.1.2,"LGPL-3.0+, BSD-3-Clause, Apache-2.0",,,
sudo,1.9.15p5,"ISC, BSD-3-Clause",,,
swupdate,2023.12,"GPL-2.0, GPL-2.0+, LGPL-2.1+, MIT, ISC, BSD-1-Clause, BSD-3-Clause, CC0-1.0, CC-BY-SA-4.0, OFL-1.1",,,
uboot-tools,2021.07,GPL-2.0+,,,
wireless-regdb,2023.09.01,ISC,,,
wireless_tools,30.pre9,GPL-2.0,,,
wpa_supplicant,2.1,BSD-3-Clause,,,
uboot,2687dce2617032930f2c43fef349bdea694c6f68,GPL-2.0+,,,
linux,6.10.2,GPL-2.0,,,
